mac_id,total_times,total_days
4356042,11,2
4361491,11,1
4363861,11,1
436921,11,3
437119,11,2
4371661,11,4
438018,11,7
438438,11,3
4386201,11,4
4391191,11,5
439426,11,6
4395046,11,4
4408364,11,7
4408771,11,1
440909,11,2
441411,11,6
4414149,11,7
4418771,11,8
442048,11,3
4426281,11,7
442841,11,6
4432115,11,1
4433930,11,1
4434403,11,4
4435479,11,9
443718,11,1
4445146,11,5
4446182,11,2
4450471,11,7
445161,11,3
4452057,11,3
4458386,11,5
4458468,11,6
4462024,11,1
4463504,11,1
4468845,11,5
4471155,11,7
447549,11,4
4475712,11,3
4478765,11,6
447925,11,8
4486311,11,4
448870,11,4
4490405,11,2
449982,11,3
4505636,11,1
4511281,11,1
4512174,11,4
4512328,11,4
4512919,11,2
4519402,11,3
4519553,11,1
451978,11,1
4520548,11,1
453023,11,3
4531903,11,1
4532844,11,4
4534647,11,4
453849,11,1
4540543,11,7
4540581,11,3
4543186,11,9
4543905,11,5
4545496,11,11
4549507,11,2
455216,11,8
4553051,11,2
4555282,11,8
4555816,11,2
4560896,11,7
4562551,11,3
4563603,11,1
4568015,11,3
456894,11,6
4572751,11,5
4573799,11,3
4575161,11,4
4577350,11,2
4581363,11,2
4587526,11,4
4597559,11,2
4600831,11,1
4601277,11,1
4603256,11,1
4614223,11,6
4614286,11,2
4616203,11,3
4616652,11,3
4618057,11,7
462561,11,4
4633308,11,1
4637547,11,3
4638542,11,1
4638887,11,5
4638981,11,2
4639010,11,4
4643249,11,3
4643451,11,3
4643765,11,6
4650666,11,3
4651454,11,5
4653084,11,2
4653777,11,4
466866,11,1
4669602,11,1
467392,11,2
4674426,11,1
4677754,11,5
4678754,11,7
4678994,11,4
468498,11,5
4690672,11,3
4695897,11,3
469915,11,3
4701058,11,1
4705178,11,5
4707129,11,1
4707359,11,8
4708007,11,1
4710568,11,2
4712577,11,5
4712658,11,4
4715921,11,8
4716275,11,1
4718105,11,3
4718496,11,5
4719675,11,7
4720990,11,4
4727911,11,4
4728205,11,3
4730343,11,3
4731901,11,3
4731994,11,6
4735626,11,7
4736015,11,3
4736310,11,3
473699,11,5
4739987,11,9
474024,11,3
4740264,11,6
474066,11,6
4740783,11,5
4744503,11,6
4745807,11,7
4746646,11,6
4747060,11,4
475034,11,2
475114,11,4
475115,11,5
4751166,11,2
4754254,11,6
4754369,11,2
4754534,11,2
4755613,11,3
4756145,11,3
4756764,11,6
4756894,11,7
4759037,11,2
4760929,11,4
4762913,11,2
4765236,11,7
4767092,11,2
477317,11,3
4775049,11,2
4778602,11,2
4780150,11,8
4781660,11,5
4782793,11,6
4788341,11,3
4790848,11,4
4791032,11,2
4792393,11,7
4797041,11,2
479863,11,1
480680,11,8
4807404,11,6
480898,11,7
4809506,11,2
4809781,11,3
4810938,11,4
4814762,11,2
4814797,11,2
4819981,11,8
482355,11,2
4826085,11,6
4828873,11,1
4829174,11,2
4838340,11,2
483916,11,1
4840817,11,8
4845691,11,4
4846571,11,8
4846776,11,1
4847450,11,4
4849384,11,1
4849901,11,9
4850154,11,2
4851264,11,2
4857264,11,5
485769,11,1
485781,11,4
4857813,11,6
4858614,11,3
4858737,11,2
4859671,11,3
4860146,11,8
4860220,11,11
4860358,11,6
4862127,11,4
4865543,11,6
4866468,11,2
4867116,11,2
4869556,11,5
4869832,11,1
4870564,11,6
4870580,11,1
487088,11,2
4871497,11,4
4871655,11,3
4871675,11,2
4871942,11,4
487410,11,3
4876249,11,2
4876744,11,3
4878092,11,6
4880638,11,5
4880761,11,5
4881106,11,6
4882260,11,6
4883419,11,6
4884490,11,7
4885110,11,1
4889408,11,10
4891289,11,6
4891416,11,4
4892298,11,5
4892873,11,1
4893292,11,9
4895206,11,1
4895259,11,5
4895450,11,8
4895775,11,1
4896052,11,4
4898326,11,4
4899183,11,8
4899207,11,1
4899591,11,3
4899645,11,9
4900359,11,5
4900492,11,6
4901322,11,9
4903190,11,3
4903348,11,1
4905467,11,2
4907884,11,7
4908815,11,4
4909087,11,9
4909582,11,1
4909982,11,1
4911148,11,1
4911326,11,1
4912508,11,1
4912831,11,1
4913955,11,1
4921446,11,1
4921448,11,2
4921858,11,7
4922315,11,1
4922621,11,1
4923919,11,1
4925688,11,2
4925989,11,2
4927560,11,6
4929347,11,1
4929598,11,2
4929704,11,1
4932539,11,1
4934328,11,8
4935014,11,2
4935784,11,1
4936052,11,2
4936100,11,1
4944434,11,1
4944437,11,6
4945634,11,2
4945983,11,1
4946099,11,1
4947436,11,1
4948265,11,1
4948395,11,2
4948531,11,6
4950106,11,1
4950365,11,2
495052,11,7
4950593,11,2
4950732,11,1
4951065,11,2
4952005,11,2
4952296,11,1
4953018,11,1
4953296,11,2
4954012,11,2
4954745,11,1
4956846,11,10
4957716,11,2
4959256,11,7
4961087,11,2
4961639,11,8
4963609,11,1
4963714,11,1
4963754,11,3
4964211,11,1
4964475,11,3
4965421,11,1
4968042,11,1
4968147,11,1
4969956,11,3
4971000,11,3
4971357,11,1
4972725,11,9
4973521,11,1
4974066,11,1
4977077,11,1
4977155,11,1
4977500,11,6
4978803,11,1
4979454,11,1
4979652,11,1
4979970,11,1
4980633,11,1
4980803,11,1
4983084,11,1
4984246,11,1
4985843,11,1
4986600,11,1
4987167,11,2
4987298,11,1
49879,11,8
4988599,11,5
4990907,11,1
4991326,11,1
4992667,11,1
4993704,11,1
4996355,11,1
4997087,11,7
4998416,11,9
4998582,11,1
4998906,11,4
5002051,11,2
5002434,11,3
5002804,11,2
5004993,11,1
5008869,11,1
5009813,11,8
5010400,11,7
5016373,11,5
501945,11,1
5019530,11,11
5022161,11,3
5023638,11,5
5024500,11,1
5024501,11,4
5025319,11,6
5025517,11,7
5025998,11,5
5026038,11,2
5026840,11,6
5027952,11,1
5031308,11,1
5032048,11,1
5032851,11,1
5033549,11,3
5033818,11,3
503468,11,3
5034825,11,2
503561,11,4
5039603,11,1
5041559,11,4
5045701,11,2
5045983,11,2
5046884,11,3
5048432,11,1
5048475,11,1
5049405,11,1
5050492,11,1
5055422,11,5
5055767,11,6
5055771,11,7
5056860,11,6
50576,11,2
5058120,11,3
5059572,11,3
5062313,11,6
5062613,11,1
5063886,11,1
5064019,11,7
506410,11,4
5065172,11,1
5070013,11,3
5070054,11,7
5070612,11,2
5071396,11,2
5071926,11,1
5073362,11,1
5073366,11,1
507351,11,2
5074661,11,2
5074713,11,1
5075498,11,5
5077056,11,2
5078108,11,1
5078289,11,2
5078381,11,4
5079136,11,10
508122,11,1
5083127,11,2
5083439,11,5
5086804,11,3
5087447,11,2
5088071,11,10
5090819,11,2
5091369,11,2
5093519,11,2
509459,11,3
5095661,11,5
5098426,11,7
